wolfCount,wolfEnergy,wolfRepro,wolfFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue
336,496.8,1018.2,7.2,81,767.7,921.0,5.4,2969,402.3,128.1,5.8
341,500.6,1018.2,7.2,74,762.1,921.4,5.4,3007,404.3,128.1,5.8
353,494.2,1018.3,7.1,60,769.0,921.2,5.4,3068,403.6,128.1,5.8
355,490.6,1018.3,7.1,62,788.1,921.2,5.3,3111,404.7,128.2,5.8
356,489.0,1018.3,7.1,72,757.6,921.3,5.4,3158,405.6,128.3,5.8
362,480.0,1018.3,7.1,75,773.4,921.0,5.4,3202,406.2,128.3,5.8
364,479.5,1018.3,7.1,80,778.0,920.8,5.3,3226,409.1,128.5,5.8
369,477.5,1018.3,7.1,81,783.4,920.5,5.3,3270,409.8,128.5,5.8
374,475.2,1018.3,7.1,85,763.2,920.4,5.3,3312,410.5,128.5,5.8
377,474.2,1018.3,7.1,89,771.7,920.2,5.3,3349,412.0,128.7,5.8
380,471.8,1018.3,7.1,93,775.8,920.3,5.3,3380,413.8,128.8,5.8
382,474.8,1018.3,7.1,100,753.7,920.5,5.3,3405,416.7,128.9,5.8
388,464.9,1018.3,7.1,113,744.9,920.4,5.3,3429,419.5,129.0,5.8
388,472.4,1018.3,7.1,119,735.5,920.7,5.3,3458,421.4,129.1,5.8
395,467.1,1018.3,7.1,128,729.4,920.7,5.3,3491,422.5,129.1,5.8
399,465.2,1018.3,7.1,133,756.4,920.8,5.3,3515,423.7,129.2,5.9
401,471.8,1018.3,7.1,144,723.2,921.0,5.3,3530,426.5,129.4,5.8
403,480.5,1018.3,7.1,143,729.5,921.0,5.3,3560,427.7,129.4,5.8
410,476.2,1018.3,7.1,149,725.2,921.1,5.4,3587,429.5,129.5,5.8
418,473.4,1018.3,7.2,153,720.3,921.1,5.4,3608,431.6,129.7,5.9
426,477.8,1018.3,7.2,146,728.9,920.9,5.4,3629,433.4,129.8,5.8
430,480.8,1018.3,7.2,148,712.8,920.5,5.4,3671,434.2,129.9,5.9
441,474.7,1018.3,7.2,146,713.5,920.6,5.4,3695,436.6,130.0,5.9
447,476.2,1018.3,7.2,149,708.0,920.7,5.5,3735,436.6,130.0,5.9
