rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
82,98.2,138.6,6.7,115,105.7,130.2,2.3,14,393.9,651.5,30.2
87,105.2,138.0,6.6,112,103.7,129.8,2.2,15,372.0,651.4,29.9
97,100.2,138.2,6.6,108,106.4,130.0,2.1,15,368.2,651.4,29.9
103,98.8,138.9,6.6,99,107.8,129.5,2.0,16,356.5,651.6,29.6
104,96.6,139.2,6.6,99,106.6,130.4,2.1,16,357.6,651.6,29.6
106,96.5,139.0,6.6,99,107.4,129.7,2.0,17,326.4,651.6,29.4
99,96.0,140.1,6.6,106,103.5,130.0,2.3,17,337.5,651.4,29.8
102,93.2,140.8,6.5,121,100.3,130.1,2.2,18,322.7,651.5,29.6
107,92.4,141.3,6.6,117,104.4,129.9,2.3,17,330.9,651.6,29.3
99,93.0,142.3,6.5,124,105.4,129.4,2.3,17,348.3,651.6,29.3
88,87.2,143.1,6.6,128,106.7,129.3,2.6,15,431.7,651.7,28.7
83,89.3,143.0,6.6,133,108.5,129.3,2.6,16,409.2,651.8,28.6
85,90.1,143.4,6.6,139,107.4,129.1,2.8,18,355.5,651.8,28.3
88,87.0,142.9,6.5,143,106.1,128.8,3.0,19,340.3,651.9,28.2
94,94.4,143.1,6.5,140,102.7,128.7,3.2,20,313.0,651.8,28.1
102,96.8,143.4,6.5,133,99.3,129.3,3.3,21,299.4,651.8,28.0
120,95.2,142.8,6.5,117,99.6,129.6,3.5,21,293.3,651.8,28.0
131,96.0,142.6,6.6,102,102.7,130.6,3.2,22,284.0,651.8,27.9
141,90.5,142.1,6.5,99,103.1,129.8,3.2,21,302.8,651.9,27.7
144,89.2,141.6,6.5,95,103.2,129.5,3.0,21,309.0,651.9,27.7
142,91.1,142.2,6.5,91,99.1,130.1,3.2,22,301.4,651.9,27.6
147,85.9,142.1,6.5,93,100.6,130.9,3.1,22,307.5,651.9,27.6
147,83.0,142.1,6.5,92,100.4,131.9,3.0,22,312.1,651.9,27.6
135,80.4,142.7,6.5,90,102.5,132.2,3.0,23,318.1,651.9,27.8
124,79.7,142.5,6.6,93,105.2,133.1,3.1,22,346.5,652.1,28.0
127,73.8,141.4,6.5,96,108.0,133.6,3.0,23,328.8,652.1,27.9
123,76.2,141.9,6.5,89,109.7,134.4,3.0,23,330.6,652.1,27.9
126,74.7,141.4,6.5,90,110.0,133.7,2.8,24,306.7,652.2,27.5
119,76.5,140.5,6.5,86,106.4,133.3,2.7,23,333.3,652.3,27.3
111,77.1,142.1,6.6,78,108.0,134.1,2.6,23,351.9,652.3,27.3
108,79.0,142.2,6.6,80,104.5,132.5,2.5,23,347.6,652.3,27.3
102,80.6,141.8,6.6,78,100.9,129.8,2.2,23,361.6,652.3,27.3
102,82.9,142.0,6.6,73,100.8,128.6,2.2,25,333.3,652.1,27.2
99,80.9,141.4,6.5,66,100.0,128.0,2.1,26,341.0,652.2,27.4
96,77.2,140.1,6.5,73,93.5,128.3,1.9,28,323.2,652.0,27.3
92,83.2,139.0,6.5,60,92.1,126.7,2.0,29,314.1,652.0,27.5
89,82.4,139.0,6.4,56,96.1,124.7,2.0,28,322.3,652.0,27.6
83,81.0,139.5,6.4,57,91.9,122.2,1.9,27,339.1,652.0,27.3
81,76.6,138.4,6.5,62,93.4,123.4,1.6,26,343.1,651.9,27.5
77,76.0,138.2,6.6,66,99.3,124.0,1.6,26,334.6,651.9,27.5
66,76.3,135.0,6.4,62,103.2,123.6,1.7,26,341.8,651.9,27.5
63,70.2,133.8,6.3,73,98.6,123.7,1.9,27,322.1,651.8,27.4
59,75.8,133.0,6.3,70,102.2,124.2,2.0,28,302.4,651.7,27.3
62,77.1,129.7,6.1,69,102.1,124.6,1.9,28,286.4,651.7,27.3
66,80.4,129.4,6.2,65,101.0,125.0,1.9,27,282.7,651.7,27.1
67,81.8,129.2,6.1,69,97.9,126.7,1.7,27,269.2,651.7,27.1
67,84.9,130.4,6.2,64,100.8,126.2,1.8,26,270.2,651.7,26.8
68,77.9,130.2,6.3,68,104.7,126.8,1.7,25,270.5,651.7,26.9
65,85.0,131.4,6.3,61,107.0,127.7,1.4,25,265.6,651.7,26.9
65,90.6,132.5,6.3,68,98.6,128.5,1.6,25,256.8,651.7,26.9
71,88.7,132.4,6.3,63,97.0,130.0,1.6,25,252.6,651.7,26.9
75,88.2,133.4,6.4,63,96.2,131.1,1.4,23,266.0,651.7,27.0
84,88.8,134.4,6.4,49,100.9,132.2,1.8,23,248.8,651.5,26.7
81,88.0,134.9,6.4,45,103.3,133.4,1.2,23,255.3,651.5,26.7
76,88.8,133.5,6.3,43,98.2,132.6,1.2,23,264.3,651.5,27.0
75,85.8,133.5,6.4,39,104.0,133.7,1.5,24,258.9,651.5,27.0
61,87.3,133.0,6.4,45,101.7,133.3,1.4,22,311.5,651.5,27.0
48,87.2,132.2,6.2,49,95.8,133.4,1.9,20,367.4,651.5,27.1
44,85.0,134.9,6.4,48,98.6,133.6,2.0,20,371.2,651.5,27.1
42,86.0,136.6,6.6,57,98.0,132.2,1.7,21,343.4,651.3,27.0
38,88.9,137.0,6.6,61,100.9,132.0,1.7,22,320.1,651.3,27.0
40,82.1,136.6,6.7,73,100.1,132.0,1.5,22,311.5,651.3,27.0
33,77.9,137.1,6.7,88,98.8,131.0,1.6,20,344.3,651.3,27.1
